Fields/Model Name,Fields/Field Name
mrp.workorder,qty_production
mrp.workorder,qty_remaining
mrp.workorder,qty_reported_from_previous_wo
mrp.workorder,scrap_count
mrp.workorder,scrap_ids
mrp.workorder,show_json_popover
mrp.workorder,state
mrp.workorder,time_ids
mrp.workorder,wc_analytic_account_line_ids
mrp.workorder,workcenter_id
mrp.workorder,working_state
mrp.workorder,working_user_ids
mrp.workorder,worksheet
mrp.workorder,worksheet_google_slide
mrp.workorder,worksheet_type
mrp.workorder,write_date
mrp.workorder,write_uid
mrp.workorder.dashboard,color
mrp.workorder.dashboard,count_workorders
mrp.workorder.dashboard,create_date
mrp.workorder.dashboard,create_uid
mrp.workorder.dashboard,display_name
mrp.workorder.dashboard,duration_expected
mrp.workorder.dashboard,id
mrp.workorder.dashboard,name
mrp.workorder.dashboard,workcenter_id
mrp.workorder.dashboard,write_date
mrp.workorder.dashboard,write_uid
mrp.workcenter.productivity,company_id
mrp.workcenter.productivity,create_date
mrp.workcenter.productivity,create_uid
mrp.workcenter.productivity,date_end
mrp.workcenter.productivity,date_start
mrp.workcenter.productivity,description
mrp.workcenter.productivity,display_name
mrp.workcenter.productivity,duration
mrp.workcenter.productivity,id
mrp.workcenter.productivity,loss_id
mrp.workcenter.productivity,loss_type
mrp.workcenter.productivity,production_id
mrp.workcenter.productivity,user_id
mrp.workcenter.productivity,workcenter_id
mrp.workcenter.productivity,workorder_id
mrp.workcenter.productivity,write_date
mrp.workcenter.productivity,write_uid
mrp.workcenter.productivity.loss,create_date
mrp.workcenter.productivity.loss,create_uid
mrp.workcenter.productivity.loss,display_name
mrp.workcenter.productivity.loss,id
mrp.workcenter.productivity.loss,loss_id
mrp.workcenter.productivity.loss,loss_type
mrp.workcenter.productivity.loss,manual
mrp.workcenter.productivity.loss,name
mrp.workcenter.productivity.loss,sequence
mrp.workcenter.productivity.loss,write_date
mrp.workcenter.productivity.loss,write_uid
mrp.dashboard,color
mrp.dashboard,count_mo_in_progress
mrp.dashboard,count_mo_late
mrp.dashboard,count_mo_ready
mrp.dashboard,count_mo_waiting
mrp.dashboard,create_date
mrp.dashboard,create_uid
mrp.dashboard,display_name
mrp.dashboard,id
mrp.dashboard,name
mrp.dashboard,write_date
mrp.dashboard,write_uid
